date,open,high,low,close,adj_close,volume,currency
2023-06-13,1123.362671,1123.362671,1122.069458,1128,1128,0,USD/RWF (RWF=X)
2023-06-12,1122.351196,1126,1122.340454,1120.245239,1120.245239,0,USD/RWF (RWF=X)
2023-06-09,1113.677002,1120.021606,1113.677002,1125,1125,0,USD/RWF (RWF=X)
2023-06-08,1118.343018,1119.05835,1118.343018,1123,1123,0,USD/RWF (RWF=X)
2023-06-07,1116.676758,1123,1116.676758,1123,1123,0,USD/RWF (RWF=X)
2023-06-06,1117.529053,1117.778809,1117.529053,1117.993286,1117.993286,0,USD/RWF (RWF=X)
2023-06-05,1123.745728,1123.745728,1120,1120.30957,1120.30957,0,USD/RWF (RWF=X)
2023-06-02,1109.37146,1116.235474,1109.37146,1114.435181,1114.435181,0,USD/RWF (RWF=X)
2023-06-01,1113.013916,1114.435181,1113.013916,1120,1120,0,USD/RWF (RWF=X)
2023-05-31,1112.316895,1113.597412,1112.316895,1109,1109,0,USD/RWF (RWF=X)
2023-05-30,1112.58374,1112.58374,1112.482666,1112.210083,1112.210083,0,USD/RWF (RWF=X)
2023-05-29,1114.17395,1114.17395,1112.210083,1113.701172,1113.701172,0,USD/RWF (RWF=X)
2023-05-26,1109,1111.467773,1109,1110,1110,0,USD/RWF (RWF=X)
2023-05-25,1110.294556,1110.391113,1110.294556,1110,1110,0,USD/RWF (RWF=X)
2023-05-24,1110.327271,1110.327271,1108.726929,1115,1115,0,USD/RWF (RWF=X)
2023-05-23,1108.182129,1109.410645,1108.182129,1116,1116,0,USD/RWF (RWF=X)
2023-05-22,1105.100952,1107.623779,1105,1105.187744,1105.187744,0,USD/RWF (RWF=X)
2023-05-19,1111.874268,1111.874268,1108.259644,1110,1110,0,USD/RWF (RWF=X)
2023-05-18,1105.586914,1113,1105.586914,1113,1113,0,USD/RWF (RWF=X)
2023-05-17,1108.765381,1110,1106.413574,1105,1105,0,USD/RWF (RWF=X)
2023-05-16,1106.629272,1106.629272,1106.272095,1110,1110,0,USD/RWF (RWF=X)
2023-05-15,1109.887695,1109.887695,1107.463745,1101.147217,1101.147217,0,USD/RWF (RWF=X)
2023-05-12,1104.330444,1107,1104.330444,1107,1107,0,USD/RWF (RWF=X)
2023-05-11,1100.366577,1108,1100.366577,1109,1109,0,USD/RWF (RWF=X)
2023-05-10,1104.092041,1104.960205,1104.092041,1109,1109,0,USD/RWF (RWF=X)
2023-05-09,1107.299438,1107.299438,1103.609131,1107,1107,0,USD/RWF (RWF=X)
2023-05-08,1101.214478,1107,1101.214478,1107,1107,0,USD/RWF (RWF=X)
2023-05-05,1104.228271,1106,1101.229492,1106,1106,0,USD/RWF (RWF=X)
2023-05-04,1096.00293,1104,1096.00293,1104,1104,0,USD/RWF (RWF=X)
2023-05-03,1093.3302,1105,1093.3302,1105,1105,0,USD/RWF (RWF=X)
2023-05-02,1097.714355,1103,1097.714355,1103,1103,0,USD/RWF (RWF=X)
2023-05-01,1107.835205,1107.835205,1107.835205,1095.458374,1095.458374,0,USD/RWF (RWF=X)
2023-04-28,1098.579468,1109.988403,1098.579468,1103,1103,0,USD/RWF (RWF=X)
2023-04-27,1097.531128,1097.531128,1097.450562,1101,1101,0,USD/RWF (RWF=X)
2023-04-26,1101.703003,1101.703003,1098.301758,1102,1102,0,USD/RWF (RWF=X)
2023-04-25,1120.093262,1120.093262,1097.210205,1120.944702,1120.944702,0,USD/RWF (RWF=X)
2023-04-24,1093.919189,1125.200928,1093.919189,1101,1101,0,USD/RWF (RWF=X)
2023-04-21,1095.947876,1101,1095.947876,1101,1101,0,USD/RWF (RWF=X)
2023-04-20,1093.992432,1095.683105,1012,1096.534546,1096.534546,0,USD/RWF (RWF=X)
2023-04-19,1095.105835,1096.534546,1095.105835,1101.389893,1101.389893,0,USD/RWF (RWF=X)
2023-04-18,1117.660034,1117.660034,1101.389893,1099,1099,0,USD/RWF (RWF=X)
2023-04-17,1101.381348,1101.381348,1012,1088.477661,1088.477661,0,USD/RWF (RWF=X)
2023-04-14,1093.801636,1099,1093,1093,1093,0,USD/RWF (RWF=X)
2023-04-13,1089.72229,1095,1089.72229,1095,1095,0,USD/RWF (RWF=X)
2023-04-12,1089.722412,1096,1089.722412,1095,1095,0,USD/RWF (RWF=X)
2023-04-11,1090.228027,1095,1090,1090,1090,0,USD/RWF (RWF=X)
2023-04-10,1090.964111,1090.964111,1090,1082.155029,1082.155029,0,USD/RWF (RWF=X)
